Original POI ID,Original Avg Pre Pre Open,Original Avg Pre Open,Original Avg Post Open,POI ID,Zip_Code,Group,Station,Open Date,City,OriginalNewCity,Similar New City,Avg Pre Pre Open,Avg Pre Open,Avg Post Open,Original Station Name,Original City,6 Months Before Original POI Open Date,3 Months Before Original POI Open Date,3 Months After Original POI Open Date,size_group,DiD1,DiD2,DiD,DiD3,DiD4,DiD5,difference,orig_latitude,orig_longitude,sim_latitude,sim_longitude,ev_latitude,ev_longitude,ev_level2,ev_dcfc,ev_type,Original POI Open Date,Original POI Open Year,Distance(m),distance_group
venue:65685afeedc4ff36069bb7dd,15.45555556,14.89130435,14.84782609,venue:63b53750dd114806ddea8b9d,11101,Dining,CITYLIGHTS 5TH FLOOR 1,9/14/2023,Queens,Queens,Queens,6.633333333,9.010869565,7.956521739,KOEPPEL HYUNDAI CPE250 2,Queens,12/1/2022,3/1/2023,9/1/2023,0-50,-0.043478261,-1.054347826,1.010869565,-0.564251208,2.377536232,-2.94178744,2.94178744,40.75470352,-73.91629791,40.7431488,-73.95418549,40.754044,-73.919245,0,1,dcfc,6/1/2023,2023,259.4249947200387,200-300m
venue:d8b5c2f2635b675b09e3261f,876.8695652,828.2888889,847.8351648,venue:484a7f0e9d858ee61d2248c7,11101,Groceries,CITYLIGHTS 5TH FLOOR 1,9/14/2023,Queens,Queens,Queens,807.2282609,889.1333333,794.8021978,Queens Family Court Municipal Garage,Queens,10/1/2018,1/1/2019,7/1/2019,500-1000,19.54627595,-94.33113553,113.8774115,-48.58067633,81.90507246,-130.4857488,130.4857488,40.70206833,-73.80586243,40.74308395,-73.95420837,40.701647,-73.803843,3,0,level2,4/1/2019,2019,176.965577062241,100-200m
venue:76398cb421f5700a1e78e89c,83.30337079,76.06521739,72.5,venue:3d5fc798fa1e50579cc8e186,11101,Groceries,CITYLIGHTS 5TH FLOOR 2,9/14/2023,Queens,Queens,Queens,57.33707865,64.31521739,75.5,30-10 35th Street,Queens,2/16/2022,5/16/2022,11/16/2022,50-100,-3.565217391,11.18478261,-14.75,-7.238153395,6.97813874,-14.21629213,14.21629213,40.76551056,-73.91945648,40.74520874,-73.95301819,40.765233,-73.918436,2,0,level2,8/16/2022,2022,91.5092449572199,0-100m
venue:93f0dc8323d6af8ecf6f8e2c,4.02173913,8.391304348,8.077777778,venue:adbb8385cf83d31b20111af9,11101,Home Improvements & Furnishings,CITYLIGHTS 5TH FLOOR 1,9/14/2023,Queens,Queens,Queens,7.815217391,14.23913043,5.477777778,33-10 Queens Blvd,Queens,7/12/2021,10/12/2021,4/12/2022,0-50,-0.31352657,-8.761352657,8.447826087,4.369565217,6.423913043,-2.054347826,2.054347826,40.74169159,-73.9348526,40.7459259,-73.95328522,40.744363,-73.93112,4,0,level2,1/12/2022,2022,432.89039057460064,300-400m
venue:2075e830d882bde30a3ca6dd,29.51086957,25.85869565,60.23333333,venue:fc334522151e9246c9e94f7f,11101,Home Improvements & Furnishings,KOEPPEL HYUNDAI CPE250 1,6/1/2023,Queens,Queens,Queens,29.04347826,23.45652174,33.55555556,33-10 Queens Blvd,Queens,7/12/2021,10/12/2021,4/12/2022,0-50,34.37463768,10.09903382,24.27560386,-3.652173913,-5.586956522,1.934782609,1.934782609,40.74534988,-73.93185425,40.75369263,-73.92033386,40.744363,-73.93112,4,0,level2,1/12/2022,2022,125.92112497142402,100-200m
venue:85357d8f6cd215f7000cb078,127.0,144.8804348,144.1413043,venue:f7cab4d0239324158b2bd579,11101,Home Improvements & Furnishings,CITYLIGHTS 5TH FLOOR 1,9/14/2023,Queens,Queens,Queens,70.98888889,110.0108696,62.02173913,KOEPPEL HYUNDAI CPE250 2,Queens,12/1/2022,3/1/2023,9/1/2023,100-200,-0.739130435,-47.98913043,47.25,17.88043478,39.02198068,-21.14154589,21.14154589,40.75303268,-73.92305756,40.74545288,-73.9553833,40.754044,-73.919245,0,1,dcfc,6/1/2023,2023,340.98742819679615,300-400m
venue:ed725ab655c7c4b205fd1271,19.58888889,32.61956522,30.63043478,venue:adbb8385cf83d31b20111af9,11101,Home Improvements & Furnishings,CITYLIGHTS 5TH FLOOR 1,9/14/2023,Queens,Queens,Queens,8.433333333,16.70652174,8.467391304,KOEPPEL HYUNDAI CPE250 2,Queens,12/1/2022,3/1/2023,9/1/2023,0-50,-1.989130435,-8.239130435,6.25,13.03067633,8.273188406,4.757487923,4.757487923,40.75361633,-73.92298126,40.7459259,-73.95328522,40.754044,-73.919245,0,1,dcfc,6/1/2023,2023,319.07188666074836,300-400m
venue:fc334522151e9246c9e94f7f,31.71111111,35.80434783,28.13043478,venue:adbb8385cf83d31b20111af9,11101,Home Improvements & Furnishings,CITYLIGHTS 5TH FLOOR 1,9/14/2023,Queens,Queens,Queens,8.433333333,16.70652174,8.467391304,KOEPPEL HYUNDAI CPE250 2,Queens,12/1/2022,3/1/2023,9/1/2023,0-50,-7.673913043,-8.239130435,0.565217391,4.093236715,8.273188406,-4.179951691,4.179951691,40.75369263,-73.92033386,40.7459259,-73.95328522,40.754044,-73.919245,0,1,dcfc,6/1/2023,2023,99.88776575217662,0-100m
venue:a1b42dee8f38257b084a65e5,384.2826087,506.3152174,482.0777778,venue:cb7dd1a77edff4866e14908c,11368,Hotels & Casinos,NYC FLEET DPRWFMARINA-S2,5/6/2023,Queens,Queens,Queens,559.7826087,589.1304348,606.6888889,33-10 Queens Blvd,Queens,7/12/2021,10/12/2021,4/12/2022,500-1000,-24.23743961,17.55845411,-41.79589372,122.0326087,29.34782609,92.68478261,92.68478261,40.74367905,-73.92737579,40.75834274,-73.85746002,40.744363,-73.93112,4,0,level2,1/12/2022,2022,325.228419647757,300-400m
venue:665179cfb6a0e40051a431d7,26.1978022,45.16666667,81.08695652,venue:640997ced9489549fbb730c2,11102,Leisure,30-10 35th Street,8/16/2022,Queens,Queens,Queens,34.71428571,40.5,33.65217391,Stop & Shop #566 - Arverne By-the-sea,Queens,9/25/2021,12/25/2021,6/25/2022,0-50,35.92028986,-6.847826087,42.76811594,18.96886447,5.785714286,13.18315018,13.18315018,40.59078598,-73.79676056,40.76375961,-73.92153931,40.5898135,-73.7999495,2,0,level2,3/25/2022,2022,290.75482212894707,200-300m
venue:e14f133daa52c232caba8dff,357.8764045,440.4130435,420.0978261,venue:1973733824e2917b88f5cc43,11362,Leisure,DEEPDALE MANAGEMENT,8/15/2023,Queens,Queens,Queens,186.1460674,269.4782609,193.5978261,30-10 35th Street,Queens,2/16/2022,5/16/2022,11/16/2022,200-500,-20.31521739,-75.88043478,55.56521739,82.53663898,83.33219345,-0.79555447,0.79555447,40.7647171,-73.91630554,40.754776,-73.73009491,40.765233,-73.918436,2,0,level2,8/16/2022,2022,188.78469862600133,100-200m
venue:bb9a3f221652069b5e9c84cc,113.4494382,120.9456522,110.9130435,venue:f160ab9321d29b2bc250126b,11101,Leisure,CITYLIGHTS 5TH FLOOR 1,9/14/2023,Queens,Queens,Queens,90.69662921,106.7608696,102.0543478,30-10 35th Street,Queens,2/16/2022,5/16/2022,11/16/2022,100-200,-10.0326087,-4.706521739,-5.326086957,7.496213972,16.06424035,-8.56802638,8.56802638,40.76580048,-73.91861725,40.74523163,-73.95350647,40.765233,-73.918436,2,0,level2,8/16/2022,2022,64.84983320771978,0-100m
venue:1f4a226a9a16f8641907f2ea,94.01123596,120.7173913,107.7934783,venue:2ead7584c3701a78d86ddafc,11101,Leisure,CITYLIGHTS 5TH FLOOR 2,9/14/2023,Queens,Queens,Queens,105.6179775,137.4021739,120.4347826,30-10 35th Street,Queens,2/16/2022,5/16/2022,11/16/2022,100-200,-12.92391304,-16.9673913,4.043478261,26.70615535,31.78419638,-5.078041036,5.078041036,40.765728,-73.91480255,40.74703598,-73.95288849,40.765233,-73.918436,2,0,level2,8/16/2022,2022,311.6677990769417,300-400m
venue:6bfe3602c0e04f00e310b1fd,100.9325843,106.9456522,123.8586957,venue:f160ab9321d29b2bc250126b,11101,Leisure,CITYLIGHTS 5TH FLOOR 1,9/14/2023,Queens,Queens,Queens,90.69662921,106.7608696,102.0543478,30-10 35th Street,Queens,2/16/2022,5/16/2022,11/16/2022,100-200,16.91304348,-4.706521739,21.61956522,6.013067904,16.06424035,-10.05117245,10.05117245,40.76296616,-73.92103577,40.74523163,-73.95350647,40.765233,-73.918436,2,0,level2,8/16/2022,2022,333.9958801748997,300-400m
venue:252378cbc45f46f901b9b426,66.2247191,71.60869565,70.34782609,venue:4ede83145e1d5a151d8026a1,11101,Leisure,KOEPPEL HYUNDAI CPE250 1,6/1/2023,Queens,Queens,Queens,90.80898876,96.11956522,101.173913,30-10 35th Street,Queens,2/16/2022,5/16/2022,11/16/2022,50-100,-1.260869565,5.054347826,-6.315217391,5.383976551,5.310576453,0.073400098,0.073400098,40.76729965,-73.92140961,40.75547791,-73.92221069,40.765233,-73.918436,2,0,level2,8/16/2022,2022,340.1543254317677,300-400m
venue:ce598406ec05a6f69307e8f5,64.29213483,60.4673913,62.19565217,venue:f8c0dcc7e45e6205883dbc5d,11101,Leisure,CITYLIGHTS 5TH FLOOR 1,9/14/2023,Queens,Queens,Queens,75.26966292,80.39130435,58.18478261,30-10 35th Street,Queens,2/16/2022,5/16/2022,11/16/2022,50-100,1.72826087,-22.20652174,23.93478261,-3.824743527,5.121641426,-8.946384954,8.946384954,40.76726151,-73.91793823,40.74542618,-73.95343018,40.765233,-73.918436,2,0,level2,8/16/2022,2022,229.15180298309457,200-300m
venue:4ede83145e1d5a151d8026a1,75.44444444,105.9456522,121.3478261,venue:644a4b5559e11906e199ff4a,11101,Leisure,CITYLIGHTS 5TH FLOOR 1,9/14/2023,Queens,Queens,Queens,120.0111111,161.2934783,133.2934783,KOEPPEL HYUNDAI CPE250 2,Queens,12/1/2022,3/1/2023,9/1/2023,100-200,15.40217391,-28.0,43.40217391,30.50120773,41.28236715,-10.78115942,10.78115942,40.75547791,-73.92221069,40.74496841,-73.95362091,40.754044,-73.919245,0,1,dcfc,6/1/2023,2023,296.7769161548961,200-300m
complex:9bd018850245aa08622f0a8e,700.4835165,615.1,848.4891304,complex:1110110fab6379bb40845282,11103,Shopping Centers,30-10 35th Street,8/16/2022,Queens,Queens,Queens,530.8461538,622.1777778,518.1413043,Stop & Shop #566 - Arverne By-the-sea,Queens,9/25/2021,12/25/2021,6/25/2022,500-1000,233.3891304,-104.0364734,337.4256039,-85.38351648,91.33162393,-176.7151404,176.7151404,40.59072495,-73.79708862,40.76426315,-73.91516113,40.5898135,-73.7999495,2,0,level2,3/25/2022,2022,262.48359996722365,200-300m
